,Station_ID,Date_Time,air_temp_set_1,precip_accum_set_1,snow_water_equiv_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,Date,Time
4914,MLDU1,04/28/2017 00:00 MDT,22.6,38.0,27.5,34.88,27.14,04/28/2017,00:00 MDT
4938,MLDU1,04/29/2017 00:00 MDT,21.92,38.4,28.0,29.3,20.84,04/29/2017,00:00 MDT
4962,MLDU1,04/30/2017 00:00 MDT,28.4,38.5,28.4,29.48,17.6,04/30/2017,00:00 MDT
4986,MLDU1,05/01/2017 00:00 MDT,33.26,38.6,28.4,38.66,18.86,05/01/2017,00:00 MDT
5010,MLDU1,05/02/2017 00:00 MDT,38.3,38.6,28.2,44.06,27.32,05/02/2017,00:00 MDT
5034,MLDU1,05/03/2017 00:00 MDT,34.34,38.7,27.9,43.16,33.08,05/03/2017,00:00 MDT
5058,MLDU1,05/04/2017 00:00 MDT,41.54,38.7,27.2,44.96,32.36,05/04/2017,00:00 MDT
5082,MLDU1,05/05/2017 00:00 MDT,48.74,38.8,26.4,51.08,33.08,05/05/2017,00:00 MDT
5106,MLDU1,05/06/2017 00:00 MDT,55.22,38.8,25.3,61.88,41.54,05/06/2017,00:00 MDT
5130,MLDU1,05/07/2017 00:00 MDT,45.9,38.8,24.0,65.48,49.64,05/07/2017,00:00 MDT
5154,MLDU1,05/08/2017 00:00 MDT,46.4,38.8,22.5,60.26,41.18,05/08/2017,00:00 MDT
5178,MLDU1,05/09/2017 00:00 MDT,41.54,38.9,21.4,59.0,43.16,05/09/2017,00:00 MDT
5202,MLDU1,05/10/2017 00:00 MDT,44.78,38.9,20.3,55.04,39.92,05/10/2017,00:00 MDT
5225,MLDU1,05/11/2017 00:00 MDT,45.1,38.9,18.9,56.3,40.46,05/11/2017,00:00 MDT
5249,MLDU1,05/12/2017 00:00 MDT,51.44,39.0,17.2,56.3,39.74,05/12/2017,00:00 MDT
5273,MLDU1,05/13/2017 00:00 MDT,48.38,39.2,15.2,60.62,44.24,05/13/2017,00:00 MDT
5297,MLDU1,05/14/2017 00:00 MDT,32.72,38.9,14.3,61.88,39.56,05/14/2017,00:00 MDT
5321,MLDU1,05/15/2017 00:00 MDT,46.58,39.1,13.0,44.96,31.64,05/15/2017,00:00 MDT
5345,MLDU1,05/16/2017 00:00 MDT,34.88,39.0,11.9,53.24,31.1,05/16/2017,00:00 MDT
5369,MLDU1,05/17/2017 00:00 MDT,36.68,39.2,11.3,52.88,33.8,05/17/2017,00:00 MDT
5393,MLDU1,05/18/2017 00:00 MDT,19.22,39.3,12.1,43.16,32.36,05/18/2017,00:00 MDT
5417,MLDU1,05/19/2017 00:00 MDT,26.96,39.7,12.3,35.24,18.86,05/19/2017,00:00 MDT
5441,MLDU1,05/20/2017 00:00 MDT,32.36,39.7,12.3,33.44,17.6,05/20/2017,00:00 MDT
5465,MLDU1,05/21/2017 00:00 MDT,41.18,39.8,12.0,42.26,26.06,05/21/2017,00:00 MDT
5489,MLDU1,05/22/2017 00:00 MDT,39.7,39.9,11.6,50.0,31.1,05/22/2017,00:00 MDT
5513,MLDU1,05/23/2017 00:00 MDT,45.7,40.0,10.6,46.94,34.16,05/23/2017,00:00 MDT
5536,MLDU1,05/24/2017 00:00 MDT,50.5,40.1,8.7,54.68,38.12,05/24/2017,00:00 MDT
5560,MLDU1,05/25/2017 00:00 MDT,52.9,40.3,6.7,,,05/25/2017,00:00 MDT
5584,MLDU1,05/26/2017 00:00 MDT,40.8,40.2,5.0,,,05/26/2017,00:00 MDT
5608,MLDU1,05/27/2017 00:00 MDT,36.0,40.1,3.9,,,05/27/2017,00:00 MDT
5632,MLDU1,05/28/2017 00:00 MDT,41.7,40.3,2.8,,,05/28/2017,00:00 MDT
5656,MLDU1,05/29/2017 00:00 MDT,43.9,40.4,1.8,,,05/29/2017,00:00 MDT
5680,MLDU1,05/30/2017 00:00 MDT,50.0,40.5,1.1,59.9,39.38,05/30/2017,00:00 MDT
5704,MLDU1,05/31/2017 00:00 MDT,55.58,40.7,0.6,63.86,43.16,05/31/2017,00:00 MDT
5728,MLDU1,06/01/2017 00:00 MDT,53.6,41.1,0.3,65.12,47.48,06/01/2017,00:00 MDT
